Beacon, I_payload,Q_payload
7338,2974,2572
7338,2926,2718
7338,2900,2812
7338,2926,2986
7338,2954,3208
7338,2864,3304
7338,2568,3368
7338,2160,3458
7338,1870,3548
7338,1758,3548
7338,1458,3398
7338,1268,3260
7338,1166,3114
7338,1050,2894
7338,918,2510
7338,848,2040
7338,956,1702
7338,1372,1554
7338,1608,1334
7338,1954,1244
7338,2272,1214
7338,2416,1290
7338,2668,1568
7338,2730,1960
7338,2624,2352
7338,2616,2678
7338,2276,2884
7338,1942,2968
7338,1664,2954
7338,1362,2720
7338,1106,2256
7338,980,1772
7338,1154,1312
7338,1548,1088
7338,2080,1050
7338,2660,1210
7338,2946,1534
7338,3092,2016
7338,2912,2506
7338,2480,2880
7338,2008,2968
7338,1528,2788
7338,1290,2468
7338,1238,2006
7338,1394,1454
7338,1702,1008
7338,2254,942
7338,2748,1230
7338,3052,1804
7338,3018,2480
7338,2618,2942
7338,1958,2996
7338,1290,2602
7338,872,1952
7338,1092,1462
7338,1560,1018
7338,2180,946
7338,2584,1268
7338,2884,1960
7338,2538,2614
7338,2230,3026
7338,1594,2992
7338,1048,2456
7338,944,1574
7338,1426,946
7338,2182,776
7338,2812,1200
7338,3130,1974
7338,2860,2682
7338,2164,2998
7338,1512,2844
7338,1256,2262
7338,1332,1426
7338,1920,982
7338,2714,1100
7338,3106,1796
7338,2824,2566
7338,2264,2938
7338,1384,2710
7338,866,1950
7338,1202,1242
7338,1808,852
7338,2566,1158
7338,2806,1932
7338,2514,2692
7338,1806,2924
7338,1004,2430
7338,818,1562
7338,1400,902
7338,2246,828
7338,2738,1448
7338,2824,2380
7338,2084,2882
7338,1348,2728
7338,950,1950
7338,1184,1052
7338,2052,854
7338,2832,1398
7338,2958,2286
7338,2196,2832
7338,1126,2632
7338,768,1880
7338,1138,1036
7338,1972,844
7338,2666,1428
7338,2674,2324
7338,2064,2918
7338,1264,2686
7338,922,1776
7338,1366,1058
7338,2388,982
7338,3164,1670
7338,2988,2572
7338,2138,3048
7338,1094,2632
7338,970,1834
7338,1528,1062
7338,2542,974
7338,3102,1718
7338,2864,2652
7338,1922,3038
7338,1100,2514
7338,928,1548
7338,1716,1008
7338,2734,1160
7338,3376,2002
7338,3098,2908
7338,2092,3118
7339,1472,2620
7339,1480,1744
7339,2128,1080
7339,2950,1286
7339,3346,2142
7339,2846,2946
7339,1824,3054
7339,1118,2332
7339,1254,1340
7339,2076,922
7339,2934,1382
7339,3276,2368
7339,2580,3044
7339,1462,2970
7339,990,2286
7339,1278,1374
7339,2182,1024
7339,3056,1468
7339,3268,2416
7339,2550,3094
7339,1342,2972
7339,772,2136
7339,1006,1174
7339,1870,872
7339,2826,1388
7339,3086,2388
7339,2440,3120
7339,1440,3016
7339,774,2286
7339,868,1340
7339,1680,822
7339,2756,1194
7339,3134,2110
7339,2802,2956
7339,1850,3188
7339,1068,2788
7339,784,1828
7339,1300,1130
7339,2236,1002
7339,2922,1490
7339,3078,2332
7339,2444,2912
7339,1540,2914
7339,1048,2316
7339,1182,1554
7339,1858,1078
7339,2804,1104
7339,3310,1720
7339,3194,2632
7339,2374,3178
7339,1640,3224
7339,992,2680
7339,716,1616
7339,1252,928
7339,2128,710
7339,2858,1166
7339,3014,2006
7339,2698,2768
7339,1990,3106
7339,1350,2968
7339,808,2336
7339,818,1542
7339,1402,974
7339,2152,834
7339,2874,1214
7339,3308,1988
7339,3254,2736
7339,2652,3160
7339,1716,3114
7339,944,2632
7339,572,1816
7339,802,1080
7339,1448,760
7339,2244,806
7339,2856,1202
7339,3088,1862
7339,3022,2548
7339,2592,3050
7339,2044,3220
7339,1456,3026
7339,942,2528
7339,1038,2092
7339,1228,1516
7339,1766,1128
7339,2356,960
7339,2940,1086
7339,3478,1484
7339,3600,2114
7339,3388,2768
7339,2920,3210
7339,2232,3354
7339,1714,3366
7339,1142,3046
7339,736,2656
7339,670,2124
7339,746,1534
7339,1190,1246
7339,1636,1020
7339,2160,894
7339,2600,890
7339,2892,1072
7339,3146,1452
7339,3210,1932
7339,3268,2390
7339,3018,2760
7339,2716,3044
7339,2412,3234
7339,2138,3338
7339,1700,3272
7339,1122,2924
7339,698,2588
7339,482,2292
7339,604,2126
7339,762,1896
7339,852,1582
7339,880,1232
7339,1116,994
7339,1338,848
7339,1600,822
7339,1890,842
7339,2020,746
7339,2234,810
7339,2478,950
7339,2672,1082
7339,2748,1146
7339,2828,1282
7339,2880,1420
7339,2878,1598
7339,2890,1750
7339,2902,1862
7339,2910,1974
7339,2926,2092
7339,2780,2168
7339,2738,2226
7339,2804,2310
7339,2868,2370
7339,2828,2442
7339,2746,2438
7339,2702,2412
7339,2612,2388
7339,2582,2352
7339,2618,2330
7339,2632,2306
7339,2536,2218
7339,2324,2140
7339,2226,2066
7339,2322,2026
7339,2204,1900
7339,1990,1816
7339,1954,1764
7339,1794,1672
7339,1676,1650
7339,1574,1584
7339,1440,1480
7339,1320,1460
